Orthogroup,Clade,N_Sites,Mean_PhyloP_Score,N_Conserved_Sites,N_Accelerated_Sites,Pct_Conserved,Pct_Accelerated
OG0067714,A2,1212,-0.143,0,83,0,6.85
OG0067714,B,1212,0.136,0,5,0,0.41
OG0067714,C,1212,0.034,0,11,0,0.91
OG0067714,D,1212,0.206,0,2,0,0.17
OG0067714,E,1212,-0.322,0,152,0,12.54
OG0067714,Outgroup,1212,-0.474,0,317,0,26.16
OG0068401,A1,1107,0.008,0,6,0,0.54
OG0068401,A2,1107,-0.961,0,731,0,66.03
OG0068401,B,1107,0.129,0,15,0,1.36
OG0068401,C,1107,0.083,0,3,0,0.27
OG0068401,D,1107,-1.11,0,801,0,72.36
OG0068401,E,1107,0.103,0,3,0,0.27
OG0068401,Outgroup,1107,0.105,0,0,0,0.0
OG0072278,A1,1155,0.025,0,2,0,0.17
OG0072278,A2,1155,0.072,0,1,0,0.09
OG0072278,B,1155,-0.671,0,464,0,40.17
OG0072278,C,1155,-0.132,0,65,0,5.63
OG0072278,D,1155,-0.61,0,334,0,28.92
OG0072278,E,1155,0.035,0,26,0,2.25
OG0072278,Outgroup,1155,-0.755,0,467,0,40.43
OG0074859,A1,930,0.012,0,3,0,0.32
OG0074859,A2,930,-0.056,0,37,0,3.98
OG0074859,B,930,0.142,0,1,0,0.11
OG0074859,C,930,0.117,0,0,0,0.0
OG0074859,D,930,0.145,0,1,0,0.11
OG0074859,E,930,0.021,0,16,0,1.72
OG0074859,Outgroup,930,0.032,0,13,0,1.4
OG0074896,A1,1329,-0.068,0,36,0,2.71
OG0074896,A2,1329,-0.563,0,343,0,25.81
OG0074896,B,1329,0.232,0,4,0,0.3
OG0074896,C,1329,0.002,0,11,0,0.83
OG0074896,D,1329,-0.063,0,33,0,2.48
OG0074896,E,1329,-0.099,0,13,0,0.98
OG0074896,Outgroup,1329,-0.209,0,28,0,2.11
OG0075788,A1,2367,-0.155,0,96,0,4.06
OG0075788,A2,2367,-0.032,0,9,0,0.38
OG0075788,B,2367,-0.003,0,14,0,0.59
OG0075788,C,2367,0.026,0,8,0,0.34
OG0075788,D,2367,-0.186,0,239,0,10.1
OG0075788,E,2367,-0.253,0,240,0,10.14
OG0075788,Outgroup,2367,0.036,0,7,0,0.3
OG0076104,A1,507,0.013,0,1,0,0.2
OG0076104,A2,507,0.032,0,0,0,0.0
OG0076104,B,507,-0.123,0,49,0,9.66
OG0076104,C,507,0.005,0,10,0,1.97
OG0076104,D,507,0.076,0,4,0,0.79
OG0076104,E,507,-0.118,0,35,0,6.9
OG0076104,Outgroup,507,0.013,0,11,0,2.17
OG0076278,A1,663,-0.184,0,32,0,4.83
OG0076278,A2,663,-0.004,0,2,0,0.3
OG0076278,B,663,0.136,0,0,0,0.0
OG0076278,C,663,-0.004,0,7,0,1.06
OG0076278,D,663,0.102,0,2,0,0.3
OG0076278,E,663,0.077,0,1,0,0.15
OG0076278,Outgroup,663,0.019,0,2,0,0.3
OG0077214,A1,870,0.015,0,1,0,0.11
OG0077214,A2,870,0.03,0,2,0,0.23
OG0077214,B,870,0.095,0,3,0,0.34
OG0077214,C,870,0.055,0,4,0,0.46
OG0077214,D,870,0.105,0,4,0,0.46
OG0077214,E,870,0.054,0,2,0,0.23
OG0077214,Outgroup,870,0.022,0,18,0,2.07
OG0077648,A1,1425,0.002,0,0,0,0.0
OG0077648,A2,1425,0.009,0,1,0,0.07
OG0077648,B,1425,0.024,0,3,0,0.21
OG0077648,C,1425,0.004,0,10,0,0.7
OG0077648,D,1425,0.03,0,1,0,0.07
OG0077648,E,1425,0.008,0,8,0,0.56
OG0077648,Outgroup,1425,-0.003,0,12,0,0.84
OG0078026,A1,1104,-0.066,0,21,0,1.9
OG0078026,A2,1104,0.003,0,9,0,0.82
OG0078026,B,1104,0.012,0,44,0,3.99
OG0078026,C,1104,0.063,0,13,0,1.18
OG0078026,D,1104,0.103,0,6,0,0.54
OG0078026,E,1104,0.085,0,4,0,0.36
OG0078026,Outgroup,1104,0.049,0,4,0,0.36
OG0078138,A1,939,0.024,0,0,0,0.0
OG0078138,A2,939,0.054,0,1,0,0.11
OG0078138,B,939,0.171,0,1,0,0.11
OG0078138,C,939,-0.288,0,87,0,9.27
OG0078138,D,939,-0.176,0,59,0,6.28
OG0078138,E,939,0.119,0,2,0,0.21
OG0078138,Outgroup,939,0.098,0,8,0,0.85
OG0078166,A1,2460,-0.177,0,225,0,9.15
OG0078166,A2,2460,-0.061,0,84,0,3.41
OG0078166,B,2460,0.02,0,36,0,1.46
OG0078166,C,2460,-0.032,0,46,0,1.87
OG0078166,D,2460,-0.074,0,56,0,2.28
OG0078166,E,2460,-0.059,0,56,0,2.28
OG0078166,Outgroup,2460,-0.036,0,14,0,0.57
OG0078173,A1,2508,0.016,0,5,0,0.2
OG0078173,A2,2508,0.03,0,4,0,0.16
OG0078173,B,2508,0.079,0,21,0,0.84
OG0078173,C,2508,-0.19,0,356,0,14.19
OG0078173,D,2508,0.084,0,12,0,0.48
OG0078173,E,2508,0.03,0,28,0,1.12
OG0078173,Outgroup,2508,0.06,0,10,0,0.4
OG0078211,A1,954,-0.004,0,7,0,0.73
OG0078211,A2,954,-0.012,0,12,0,1.26
OG0078211,B,954,0.05,0,13,0,1.36
OG0078211,C,954,0.016,0,11,0,1.15
OG0078211,D,954,-0.774,0,330,0,34.59
OG0078211,E,954,0.022,0,10,0,1.05
OG0078211,Outgroup,954,0.041,0,6,0,0.63
OG0078261,A1,804,-0.094,0,8,0,1.0
OG0078261,A2,804,-0.188,0,75,0,9.33
OG0078261,B,804,0.094,0,11,0,1.37
OG0078261,C,804,0.143,0,2,0,0.25
OG0078261,D,804,0.281,0,2,0,0.25
OG0078261,E,804,-0.067,0,50,0,6.22
OG0078261,Outgroup,804,0.15,0,0,0,0.0
OG0078380,A1,693,0.024,0,0,0,0.0
OG0078380,A2,693,0.07,0,0,0,0.0
OG0078380,B,693,0.161,0,3,0,0.43
OG0078380,C,693,-0.316,0,103,0,14.86
OG0078380,D,693,0.21,0,0,0,0.0
OG0078380,E,693,-0.747,0,270,0,38.96
OG0078380,Outgroup,693,0.131,0,1,0,0.14
OG0079225,A1,294,-0.004,0,1,0,0.34
OG0079225,A2,294,0.018,0,1,0,0.34
OG0079225,B,294,0.076,0,0,0,0.0
OG0079225,C,294,-0.063,0,16,0,5.44
OG0079225,D,294,0.079,0,0,0,0.0
OG0079225,E,294,0.054,0,1,0,0.34
OG0079225,Outgroup,294,0.029,0,0,0,0.0
OG0079355,A1,2298,-0.006,0,19,0,0.83
OG0079355,A2,2298,0.017,0,7,0,0.3
OG0079355,B,2298,0.09,0,5,0,0.22
OG0079355,C,2298,0.001,0,24,0,1.04
OG0079355,D,2298,0.079,0,11,0,0.48
OG0079355,E,2298,0.037,0,5,0,0.22
OG0079355,Outgroup,2298,-0.06,0,39,0,1.7
OG0080468,A1,1590,0.017,0,3,0,0.19
OG0080468,A2,1590,0.035,0,8,0,0.5
OG0080468,B,1590,-0.373,0,410,0,25.79
OG0080468,C,1590,-0.038,0,26,0,1.64
OG0080468,D,1590,-0.267,0,203,0,12.77
OG0080468,E,1590,0.068,0,4,0,0.25
OG0080468,Outgroup,1590,0.05,0,2,0,0.13
OG0080705,A1,621,-0.021,0,2,0,0.32
OG0080705,A2,621,-0.058,0,4,0,0.64
OG0080705,B,621,0.158,0,0,0,0.0
OG0080705,C,621,-0.136,0,18,0,2.9
OG0080705,D,621,-0.061,0,4,0,0.64
OG0080705,E,621,0.064,0,0,0,0.0
OG0080705,Outgroup,621,0.121,0,0,0,0.0
OG0080901,A1,918,-0.162,0,34,0,3.7
OG0080901,A2,918,-0.049,0,5,0,0.54
OG0080901,B,918,0.016,0,5,0,0.54
OG0080901,C,918,-0.262,0,115,0,12.53
OG0080901,D,918,0.064,0,1,0,0.11
OG0080901,E,918,-0.01,0,7,0,0.76
OG0080901,Outgroup,918,0.015,0,2,0,0.22
OG0081088,A1,687,0.018,0,4,0,0.58
OG0081088,A2,687,0.061,0,1,0,0.15
OG0081088,B,687,-0.077,0,51,0,7.42
OG0081088,C,687,-0.516,0,199,0,28.97
OG0081088,D,687,-0.399,0,139,0,20.23
OG0081088,E,687,-0.367,0,143,0,20.82
OG0081088,Outgroup,687,-0.11,0,16,0,2.33
OG0081328,A1,1215,0.017,0,1,0,0.08
OG0081328,A2,1215,0.054,0,1,0,0.08
OG0081328,B,1215,0.116,0,5,0,0.41
OG0081328,C,1215,-0.662,0,381,0,31.36
OG0081328,D,1215,-0.22,0,156,0,12.84
OG0081328,E,1215,0.079,0,5,0,0.41
OG0081328,Outgroup,1215,0.08,0,0,0,0.0
OG0081675,A1,1374,-0.087,0,32,0,2.33
OG0081675,A2,1374,0.016,0,3,0,0.22
OG0081675,B,1374,0.134,0,1,0,0.07
OG0081675,C,1374,-0.678,0,365,0,26.56
OG0081675,D,1374,0.039,0,7,0,0.51
OG0081675,E,1374,0.025,0,7,0,0.51
OG0081675,Outgroup,1374,-0.117,0,70,0,5.09
OG0083712,A1,1206,-0.066,0,24,0,1.99
OG0083712,A2,1206,-0.009,0,20,0,1.66
OG0083712,B,1206,-0.043,0,23,0,1.91
OG0083712,C,1206,-0.003,0,7,0,0.58
OG0083712,D,1206,-0.343,0,192,0,15.92
OG0083712,E,1206,-0.056,0,22,0,1.82
OG0083712,Outgroup,1206,0.006,0,7,0,0.58
OG0083792,A1,1134,-0.114,0,59,0,5.2
OG0083792,A2,1134,-0.02,0,19,0,1.68
OG0083792,B,1134,-0.013,0,28,0,2.47
OG0083792,C,1134,-0.044,0,31,0,2.73
OG0083792,D,1134,0.088,0,2,0,0.18
OG0083792,E,1134,0.016,0,16,0,1.41
OG0083792,Outgroup,1134,-0.064,0,75,0,6.61
OG0084150,A1,1047,0.004,0,1,0,0.1
OG0084150,A2,1047,0.014,0,0,0,0.0
OG0084150,B,1047,0.038,0,3,0,0.29
OG0084150,C,1047,0.015,0,4,0,0.38
OG0084150,D,1047,-0.009,0,12,0,1.15
OG0084150,E,1047,-0.006,0,1,0,0.1
OG0084150,Outgroup,1047,0.018,0,2,0,0.19
OG0084244,A1,825,0.004,0,4,0,0.48
OG0084244,A2,825,0.044,0,3,0,0.36
OG0084244,B,825,-0.108,0,109,0,13.21
OG0084244,C,825,-0.025,0,44,0,5.33
OG0084244,D,825,0.107,0,4,0,0.48
OG0084244,E,825,0.111,0,3,0,0.36
OG0084244,Outgroup,825,0.11,0,1,0,0.12
OG0084268,A1,471,-0.002,0,5,0,1.06
OG0084268,A2,471,0.035,0,0,0,0.0
OG0084268,B,471,0.028,0,19,0,4.03
OG0084268,C,471,0.038,0,5,0,1.06
OG0084268,D,471,0.045,0,5,0,1.06
OG0084268,E,471,0.046,0,6,0,1.27
OG0084268,Outgroup,471,-0.736,0,196,0,41.61
OG0084293,A1,1692,-0.101,0,55,0,3.25
OG0084293,A2,1692,-0.01,0,28,0,1.65
OG0084293,B,1692,0.096,0,5,0,0.3
OG0084293,C,1692,-0.379,0,350,0,20.69
OG0084293,D,1692,-0.215,0,169,0,9.99
OG0084293,E,1692,0.013,0,38,0,2.25
OG0084293,Outgroup,1692,-0.059,0,60,0,3.55
OG0084402,A1,507,0.005,0,1,0,0.2
OG0084402,A2,507,0.02,0,0,0,0.0
OG0084402,B,507,-0.406,0,133,0,26.23
OG0084402,C,507,-0.678,0,169,0,33.33
OG0084402,D,507,0.014,0,7,0,1.38
OG0084402,E,507,-0.148,0,50,0,9.86
OG0084402,Outgroup,507,0.006,0,6,0,1.18
OG0084452,A1,546,-0.011,0,5,0,0.92
OG0084452,A2,546,0.021,0,3,0,0.55
OG0084452,B,546,0.053,0,4,0,0.73
OG0084452,C,546,-0.941,0,250,0,45.79
OG0084452,D,546,0.093,0,4,0,0.73
OG0084452,E,546,0.068,0,2,0,0.37
OG0084452,Outgroup,546,0.067,0,3,0,0.55
OG0084497,A1,846,0.005,0,0,0,0.0
OG0084497,A2,846,0.063,0,1,0,0.12
OG0084497,B,846,0.043,0,2,0,0.24
OG0084497,C,846,0.031,0,5,0,0.59
OG0084497,D,846,-0.113,0,79,0,9.34
OG0084497,E,846,0.048,0,6,0,0.71
OG0084497,Outgroup,846,0.063,0,3,0,0.35
OG0084529,A1,1950,-0.432,0,441,0,22.62
OG0084529,A2,1950,-0.183,0,95,0,4.87
OG0084529,B,1950,0.127,0,3,0,0.15
OG0084529,C,1950,-0.063,0,54,0,2.77
OG0084529,D,1950,0.049,0,16,0,0.82
OG0084529,E,1950,0.056,0,8,0,0.41
OG0084529,Outgroup,1950,-0.008,0,39,0,2.0
OG0084795,A1,1125,0.022,0,3,0,0.27
OG0084795,A2,1125,0.056,0,0,0,0.0
OG0084795,B,1125,0.176,0,3,0,0.27
OG0084795,C,1125,0.069,0,14,0,1.24
OG0084795,D,1125,0.198,0,2,0,0.18
OG0084795,E,1125,0.076,0,14,0,1.24
OG0084795,Outgroup,1125,0.095,0,3,0,0.27
OG0085760,A1,951,0.014,0,4,0,0.42
OG0085760,A2,951,0.046,0,0,0,0.0
OG0085760,B,951,0.122,0,7,0,0.74
OG0085760,C,951,-0.367,0,68,0,7.15
OG0085760,D,951,0.092,0,0,0,0.0
OG0085760,E,951,0.06,0,9,0,0.95
OG0085760,Outgroup,951,-0.299,0,77,0,8.1
OG0085917,A1,1017,-0.799,0,378,0,37.17
OG0085917,A2,1017,0.023,0,0,0,0.0
OG0085917,B,1017,0.216,0,1,0,0.1
OG0085917,C,1017,0.106,0,4,0,0.39
OG0085917,D,1017,0.259,0,0,0,0.0
OG0085917,E,1017,0.154,0,4,0,0.39
OG0085917,Outgroup,1017,0.155,0,0,0,0.0
OG0085966,A1,678,-0.143,0,51,0,7.52
OG0085966,A2,678,0.064,0,0,0,0.0
OG0085966,B,678,0.17,0,3,0,0.44
OG0085966,C,678,-0.453,0,145,0,21.39
OG0085966,D,678,-0.515,0,186,0,27.43
OG0085966,E,678,0.108,0,4,0,0.59
OG0085966,Outgroup,678,0.095,0,6,0,0.88
OG0086885,A1,519,0.017,0,0,0,0.0
OG0086885,A2,519,0.039,0,0,0,0.0
OG0086885,B,519,0.095,0,7,0,1.35
OG0086885,C,519,0.051,0,4,0,0.77
OG0086885,D,519,-0.788,0,283,0,54.53
OG0086885,E,519,-0.203,0,90,0,17.34
OG0086885,Outgroup,519,0.066,0,4,0,0.77
OG0086934,A1,252,-0.453,0,51,0,20.24
OG0086934,A2,252,0.068,0,0,0,0.0
OG0086934,B,252,-0.209,0,0,0,0.0
OG0086934,C,252,-0.251,0,31,0,12.3
OG0086934,D,252,0.076,0,0,0,0.0
OG0086934,E,252,-0.199,0,29,0,11.51
OG0086934,Outgroup,252,-0.183,0,17,0,6.75
OG0087035a,A1,471,-0.434,0,108,0,22.93
OG0087035a,A2,471,-0.03,0,6,0,1.27
OG0087035a,B,471,0.154,0,2,0,0.42
OG0087035a,C,471,0.098,0,0,0,0.0
OG0087035a,D,471,-0.111,0,10,0,2.12
OG0087035a,E,471,0.1,0,1,0,0.21
OG0087035a,Outgroup,471,0.096,0,2,0,0.42
OG0087452,A1,2592,-0.002,0,9,0,0.35
OG0087452,A2,2592,-0.048,0,43,0,1.66
OG0087452,B,2592,0.038,0,16,0,0.62
OG0087452,C,2592,-0.073,0,100,0,3.86
OG0087452,D,2592,0.046,0,28,0,1.08
OG0087452,E,2592,-0.024,0,32,0,1.23
OG0087452,Outgroup,2592,-0.111,0,111,0,4.28
OG0087910,A1,546,0.005,0,2,0,0.37
OG0087910,A2,546,0.031,0,3,0,0.55
OG0087910,B,546,0.095,0,6,0,1.1
OG0087910,C,546,0.041,0,8,0,1.47
OG0087910,D,546,0.112,0,4,0,0.73
OG0087910,E,546,0.06,0,3,0,0.55
OG0087910,Outgroup,546,0.065,0,1,0,0.18
OG0088793,A1,387,-0.331,0,19,0,4.91
OG0088793,A2,387,-0.407,0,94,0,24.29
OG0088793,B,387,-0.06,0,2,0,0.52
OG0088793,C,387,-1.283,0,231,0,59.69
OG0088793,D,387,0.021,0,2,0,0.52
OG0088793,E,387,0.048,0,1,0,0.26
OG0088793,Outgroup,387,-0.008,0,1,0,0.26
OG0089249,A1,678,-0.325,0,89,0,13.13
OG0089249,A2,678,-0.195,0,30,0,4.42
OG0089249,B,678,-0.003,0,5,0,0.74
OG0089249,C,678,-0.647,0,192,0,28.32
OG0089249,D,678,0.022,0,3,0,0.44
OG0089249,E,678,0.013,0,2,0,0.29
OG0089249,Outgroup,678,-0.031,0,10,0,1.47
OG0089281,A1,459,0.009,0,2,0,0.44
OG0089281,A2,459,-1.506,0,324,0,70.59
OG0089281,B,459,0.137,0,1,0,0.22
OG0089281,C,459,0.069,0,6,0,1.31
OG0089281,D,459,0.154,0,2,0,0.44
OG0089281,E,459,0.092,0,3,0,0.65
OG0089281,Outgroup,459,-0.428,0,148,0,32.24
OG0089312,A1,669,-0.003,0,1,0,0.15
OG0089312,A2,669,0.018,0,5,0,0.75
OG0089312,B,669,-0.277,0,156,0,23.32
OG0089312,C,669,0.086,0,4,0,0.6
OG0089312,D,669,0.169,0,1,0,0.15
OG0089312,E,669,0.09,0,4,0,0.6
OG0089312,Outgroup,669,-0.819,0,256,0,38.27
OG0089595,A1,444,0.027,0,0,0,0.0
OG0089595,A2,444,0.062,0,0,0,0.0
OG0089595,B,444,-0.365,0,79,0,17.79
OG0089595,C,444,0.11,0,1,0,0.23
OG0089595,D,444,0.082,0,0,0,0.0
OG0089595,E,444,0.07,0,1,0,0.23
OG0089595,Outgroup,444,0.129,0,1,0,0.23
OG0089908i,A1,1434,-0.005,0,19,0,1.32
OG0089908i,A2,1434,0.067,0,1,0,0.07
OG0089908i,B,1434,-0.183,0,127,0,8.86
OG0089908i,C,1434,0.014,0,11,0,0.77
OG0089908i,D,1434,0.032,0,30,0,2.09
OG0089908i,E,1434,-0.204,0,86,0,6.0
OG0089908i,Outgroup,1434,-0.242,0,53,0,3.7
OG0090125,A1,690,0.021,0,1,0,0.14
OG0090125,A2,690,0.053,0,2,0,0.29
OG0090125,B,690,0.144,0,2,0,0.29
OG0090125,C,690,0.103,0,1,0,0.14
OG0090125,D,690,0.19,0,2,0,0.29
OG0090125,E,690,-1.045,0,448,0,64.93
OG0090125,Outgroup,690,0.104,0,0,0,0.0
OG0090148,A1,906,-0.01,0,5,0,0.55
OG0090148,A2,906,-0.007,0,5,0,0.55
OG0090148,B,906,0.01,0,4,0,0.44
OG0090148,C,906,0.002,0,4,0,0.44
OG0090148,D,906,0.014,0,2,0,0.22
OG0090148,E,906,0.009,0,1,0,0.11
OG0090148,Outgroup,906,0.009,0,1,0,0.11
OG0090450,A1,573,-0.01,0,4,0,0.7
OG0090450,A2,573,0.002,0,7,0,1.22
OG0090450,B,573,0.067,0,5,0,0.87
OG0090450,C,573,0.031,0,4,0,0.7
OG0090450,D,573,-0.035,0,32,0,5.58
OG0090450,E,573,0.062,0,0,0,0.0
OG0090450,Outgroup,573,0.04,0,0,0,0.0
OG0090487,A1,801,0.031,0,0,0,0.0
OG0090487,A2,801,-0.234,0,56,0,6.99
OG0090487,B,801,-0.409,0,34,0,4.24
OG0090487,C,801,-0.569,0,135,0,16.85
OG0090487,D,801,-0.273,0,4,0,0.5
OG0090487,E,801,-0.054,0,6,0,0.75
OG0090487,Outgroup,801,-0.302,0,5,0,0.62
OG0090698,A1,702,-0.19,0,32,0,4.56
OG0090698,A2,702,0.014,0,3,0,0.43
OG0090698,B,702,-0.441,0,144,0,20.51
OG0090698,C,702,0.088,0,0,0,0.0
OG0090698,D,702,0.094,0,0,0,0.0
OG0090698,E,702,0.023,0,1,0,0.14
OG0090698,Outgroup,702,0.07,0,1,0,0.14
OG0090864,A1,3381,0.01,0,7,0,0.21
OG0090864,A2,3381,0.023,0,14,0,0.41
OG0090864,B,3381,0.056,0,2,0,0.06
OG0090864,C,3381,0.093,0,5,0,0.15
OG0090864,D,3381,0.172,0,0,0,0.0
OG0090864,E,3381,-0.054,0,56,0,1.66
OG0090864,Outgroup,3381,0.086,0,2,0,0.06
OG0091065,A1,1263,-0.013,0,17,0,1.35
OG0091065,A2,1263,-0.012,0,14,0,1.11
OG0091065,B,1263,0.11,0,3,0,0.24
OG0091065,C,1263,0.019,0,6,0,0.48
OG0091065,D,1263,-0.009,0,35,0,2.77
OG0091065,E,1263,0.076,0,8,0,0.63
OG0091065,Outgroup,1263,0.051,0,8,0,0.63
OG0091281,A1,558,0.023,0,0,0,0.0
OG0091281,A2,558,0.047,0,0,0,0.0
OG0091281,B,558,0.111,0,1,0,0.18
OG0091281,C,558,0.076,0,2,0,0.36
OG0091281,D,558,0.148,0,3,0,0.54
OG0091281,E,558,0.074,0,2,0,0.36
OG0091281,Outgroup,558,0.086,0,4,0,0.72
OG0093049,A1,1467,0.03,0,3,0,0.2
OG0093049,A2,1467,0.064,0,2,0,0.14
OG0093049,B,1467,0.201,0,0,0,0.0
OG0093049,C,1467,0.097,0,2,0,0.14
OG0093049,D,1467,0.223,0,2,0,0.14
OG0093049,E,1467,-0.336,0,230,0,15.68
OG0093049,Outgroup,1467,-0.328,0,120,0,8.18
OG0093635b,A1,1218,0.003,0,0,0,0.0
OG0093635b,A2,1218,0.002,0,3,0,0.25
OG0093635b,B,1218,0.018,0,6,0,0.49
OG0093635b,C,1218,-0.004,0,13,0,1.07
OG0093635b,D,1218,0.025,0,4,0,0.33
OG0093635b,E,1218,0.002,0,4,0,0.33
OG0093635b,Outgroup,1218,0.004,0,8,0,0.66
OG0094208,A1,813,-0.386,0,196,0,24.11
OG0094208,A2,813,-0.13,0,43,0,5.29
OG0094208,B,813,-0.854,0,322,0,39.61
OG0094208,C,813,0.013,0,16,0,1.97
OG0094208,D,813,0.13,0,4,0,0.49
OG0094208,E,813,0.08,0,1,0,0.12
OG0094208,Outgroup,813,0.08,0,2,0,0.25
OG0094709,A1,1089,0.026,0,0,0,0.0
OG0094709,A2,1089,0.061,0,1,0,0.09
OG0094709,B,1089,0.19,0,3,0,0.28
OG0094709,C,1089,-0.342,0,179,0,16.44
OG0094709,D,1089,0.159,0,9,0,0.83
OG0094709,E,1089,0.087,0,5,0,0.46
OG0094709,Outgroup,1089,0.108,0,7,0,0.64
OG0094833,A1,921,0.009,0,0,0,0.0
OG0094833,A2,921,0.013,0,1,0,0.11
OG0094833,B,921,0.04,0,2,0,0.22
OG0094833,C,921,0.004,0,10,0,1.09
OG0094833,D,921,0.039,0,10,0,1.09
OG0094833,E,921,0.006,0,13,0,1.41
OG0094833,Outgroup,921,0.024,0,7,0,0.76
